,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
231,2022-12-12,2330,24064002,11435789974,476.5,478.0,473.5,475.0,-6.5,34393
232,2022-12-13,2330,36028109,17034191389,473.0,476.0,471.0,471.5,-3.5,36559
233,2022-12-14,2330,35263781,16860500181,472.0,480.5,472.0,480.5,9.0,25102
234,2022-12-15,2330,26001756,12446105928,476.0,481.5,474.5,480.5,0.0,21052
235,2022-12-16,2330,51707693,24262026661,466.5,471.0,465.5,471.0,-9.5,69011
236,2022-12-19,2330,24231653,11320207884,466.5,469.5,465.0,466.5,-4.5,30247
237,2022-12-20,2330,33181363,15291302176,465.0,467.0,455.0,457.5,-9.0,59543
238,2022-12-21,2330,40831313,18763874901,460.0,463.0,457.0,459.0,1.5,31581
239,2022-12-22,2330,14519582,6784664988,466.5,469.0,464.0,468.0,9.0,16893
240,2022-12-23,2330,26724153,12200056423,457.5,458.5,455.0,455.0,-13.0,63532
241,2022-12-26,2330,9152790,4171194858,454.0,457.0,453.5,456.5,1.5,16718
242,2022-12-27,2330,10486219,4820155221,458.0,462.5,457.0,457.0,0.5,13482
243,2022-12-28,2330,34823492,15643266841,451.0,452.0,446.0,451.0,-6.0,59400
244,2022-12-29,2330,25596357,11400284554,444.0,449.5,442.5,446.0,-5.0,34637
245,2022-12-30,2330,22297604,10079102379,455.0,456.5,448.5,448.5,2.5,23086
246,2023-01-03,2330,15311364,6871973708,446.0,453.5,443.0,453.0,4.5,22581
247,2023-01-04,2330,20626874,9310050329,449.5,455.0,448.5,449.5,-3.5,18233
248,2023-01-05,2330,23972099,10972616269,459.0,459.5,455.0,458.5,9.0,20752
249,2023-01-06,2330,21313593,9745142549,455.0,459.5,455.0,458.5,0.0,16635
250,2023-01-09,2330,49186355,23352375299,468.0,481.0,467.5,481.0,22.5,57305
251,2023-01-10,2330,34785370,16867391241,486.0,487.0,483.0,486.0,5.0,36975
252,2023-01-11,2330,21749124,10531314878,487.0,488.0,482.0,484.5,-1.5,25457
253,2023-01-12,2330,22416984,10901640739,487.5,488.0,484.0,486.5,2.0,25780
254,2023-01-13,2330,81848755,41113175651,507.0,509.0,499.0,500.0,13.5,93121
255,2023-01-16,2330,38781925,19573968332,506.0,508.0,503.0,505.0,5.0,48051
256,2023-01-17,2330,29443522,14784661794,504.0,504.0,499.5,503.0,-2.0,27930
257,2023-01-30,2330,148413161,80057158264,542.0,543.0,534.0,543.0,40.0,153125
